Disease,ICD10code
Bacterial Diseases (excl TB),A00
Bacterial Diseases (excl TB),A01
Bacterial Diseases (excl TB),A02
Infections of the digestive system,A020
Septicaemia,A021
Infections of Other or unspecified organs,A022
Infections of Other or unspecified organs,A028
Infections of Other or unspecified organs,A029
Bacterial Diseases (excl TB),A03
Bacterial Diseases (excl TB),A04
Bacterial Diseases (excl TB),A05
Parasitic infections,A06
Infections of the digestive system,A060
Infections of the digestive system,A061
Infections of the digestive system,A062
Infections of the digestive system,A063
Infection of liver,A064
Lower Respiratory Tract Infections,A065
Other nervous system infections,A066
Infection of skin and subcutaneous tissues,A067
Infections of Other or unspecified organs,A068
Infections of Other or unspecified organs,A069
Infections of the digestive system,A07
Infections of the digestive system,A08
Viral diseases (excl chronic hepatitis/HIV),A080
Viral diseases (excl chronic hepatitis/HIV),A081
Viral diseases (excl chronic hepatitis/HIV),A082
Viral diseases (excl chronic hepatitis/HIV),A083
Viral diseases (excl chronic hepatitis/HIV),A084
Other or unspecified infectious organisms,A085
Infections of the digestive system,A09
Lower Respiratory Tract Infections,A15
Lower Respiratory Tract Infections,A16
Tuberculosis,A17
Meningitis,A170
Meningitis,A171
Other nervous system infections,A178
Other nervous system infections,A179
Tuberculosis,A18
Infection of bones and joints,A180
Infection of other or unspecified genitourinary system,A181
Infections of the digestive system,A183
Infection of skin and subcutaneous tissues,A184
Eye infections,A185
Ear and Upper Respiratory Tract Infections,A186
Infections of Other or unspecified organs,A187
Infections of Other or unspecified organs,A188
Infections of Other or unspecified organs,A19
Bacterial Diseases (excl TB),A20
Infection of skin and subcutaneous tissues,A201
Lower Respiratory Tract Infections,A202
Meningitis,A203
Septicaemia,A207
Infections of Other or unspecified organs,A208
Infections of Other or unspecified organs,A209
Bacterial Diseases (excl TB),A21
Infection of skin and subcutaneous tissues,A210
Eye infections,A211
Lower Respiratory Tract Infections,A212
Infections of the digestive system,A213
Infections of Other or unspecified organs,A217
Infections of Other or unspecified organs,A218
Infections of Other or unspecified organs,A219
Bacterial Diseases (excl TB),A22
Infection of skin and subcutaneous tissues,A220
Lower Respiratory Tract Infections,A221
Infections of the digestive system,A222
Septicaemia,A227
Infections of Other or unspecified organs,A228
Infections of Other or unspecified organs,A229
Bacterial Diseases (excl TB),A23
Bacterial Diseases (excl TB),A24
Bacterial Diseases (excl TB),A25
Bacterial Diseases (excl TB),A26
Infection of skin and subcutaneous tissues,A260
Septicaemia,A267
Infections of Other or unspecified organs,A268
Infections of Other or unspecified organs,A269
Bacterial Diseases (excl TB),A27
Bacterial Diseases (excl TB),A28
Bacterial Diseases (excl TB),A30
Bacterial Diseases (excl TB),A31
Lower Respiratory Tract Infections,A310
Infection of skin and subcutaneous tissues,A311
Infections of Other or unspecified organs,A318
Infections of Other or unspecified organs,A319
Bacterial Diseases (excl TB),A32
Infection of skin and subcutaneous tissues,A320
Meningitis,A321
Septicaemia,A327
Infections of Other or unspecified organs,A328
Infections of Other or unspecified organs,A329
Bacterial Diseases (excl TB),A35
Bacterial Diseases (excl TB),A36
Ear and Upper Respiratory Tract Infections,A360
Ear and Upper Respiratory Tract Infections,A361
Ear and Upper Respiratory Tract Infections,A362
Infection of skin and subcutaneous tissues,A363
Infections of Other or unspecified organs,A368
Infections of Other or unspecified organs,A369
Bacterial Diseases (excl TB),A37
Bacterial Diseases (excl TB),A38
Bacterial Diseases (excl TB),A39
Meningitis,A390
Septicaemia,A391
Septicaemia,A392
Septicaemia,A393
Septicaemia,A394
Infections of the Heart,A395
Infections of Other or unspecified organs,A398
Infections of Other or unspecified organs,A399
Bacterial Diseases (excl TB),A40
Septicaemia,A41
Bacterial Diseases (excl TB),A410
Bacterial Diseases (excl TB),A411
Bacterial Diseases (excl TB),A412
Bacterial Diseases (excl TB),A413
Bacterial Diseases (excl TB),A414
Bacterial Diseases (excl TB),A415
Other or unspecified infectious organisms,A418
Other or unspecified infectious organisms,A419
Bacterial Diseases (excl TB),A42
Lower Respiratory Tract Infections,A420
Infections of Other or unspecified organs,A421
Infections of Other or unspecified organs,A422
Septicaemia,A427
Infections of Other or unspecified organs,A428
Infections of Other or unspecified organs,A429
Bacterial Diseases (excl TB),A43
Lower Respiratory Tract Infections,A430
Infection of skin and subcutaneous tissues,A431
Infections of Other or unspecified organs,A438
Infections of Other or unspecified organs,A439
Bacterial Diseases (excl TB),A44
Bacterial Diseases (excl TB),A46
Bacterial Diseases (excl TB),A48
Bacterial Diseases (excl TB),A49
Bacterial Diseases (excl TB),A50
Bacterial Diseases (excl TB),A51
Infection of other or unspecified genitourinary system,A510
Infection of anal and rectal regions,A511
Infections of Other or unspecified organs,A512
Infection of skin and subcutaneous tissues,A513
Infections of Other or unspecified organs,A514
Infections of Other or unspecified organs,A515
Infections of Other or unspecified organs,A519
Bacterial Diseases (excl TB),A52
Infections of the Heart,A520
Other nervous system infections,A521
Other nervous system infections,A522
Other nervous system infections,A523
Infections of Other or unspecified organs,A527
Infections of Other or unspecified organs,A528
Infections of Other or unspecified organs,A529
Bacterial Diseases (excl TB),A53
Bacterial Diseases (excl TB),A54
Infection of other or unspecified genitourinary system,A540
Infection of other or unspecified genitourinary system,A541
Infection of other or unspecified genitourinary system,A542
Eye infections,A543
Infection of bones and joints,A544
Ear and Upper Respiratory Tract Infections,A545
Infection of anal and rectal regions,A546
Infections of Other or unspecified organs,A548
Infections of Other or unspecified organs,A549
Bacterial Diseases (excl TB),A55
Bacterial Diseases (excl TB),A56
Infection of other or unspecified genitourinary system,A560
Infection of other or unspecified genitourinary system,A561
Infection of other or unspecified genitourinary system,A562
Infection of anal and rectal regions,A563
Ear and Upper Respiratory Tract Infections,A564
Infections of Other or unspecified organs,A568
Bacterial Diseases (excl TB),A57
Bacterial Diseases (excl TB),A58
Parasitic infections,A59
Infection of other or unspecified genitourinary system,A590
Infections of Other or unspecified organs,A598
Infections of Other or unspecified organs,A599
Viral diseases (excl chronic hepatitis/HIV),A60
Infection of other or unspecified genitourinary system,A600
Infection of anal and rectal regions,A601
Infection of anal and rectal regions,A609
Viral diseases (excl chronic hepatitis/HIV),A630
Infections of Other or unspecified organs,A638
Infections of Other or unspecified organs,A64
Bacterial Diseases (excl TB),A65
Bacterial Diseases (excl TB),A66
Bacterial Diseases (excl TB),A67
Bacterial Diseases (excl TB),A68
Bacterial Diseases (excl TB),A69
Bacterial Diseases (excl TB),A70
Bacterial Diseases (excl TB),A71
Bacterial Diseases (excl TB),A74
Eye infections,A740
Infections of Other or unspecified organs,A748
Infections of Other or unspecified organs,A749
Bacterial Diseases (excl TB),A75
Bacterial Diseases (excl TB),A77
Bacterial Diseases (excl TB),A78
Bacterial Diseases (excl TB),A79
Viral diseases (excl chronic hepatitis/HIV),A80
Other nervous system infections,A81
Other or unspecified infectious organisms,A810
Viral diseases (excl chronic hepatitis/HIV),A811
Viral diseases (excl chronic hepatitis/HIV),A812
Other or unspecified infectious organisms,A818
Other or unspecified infectious organisms,A819
Viral diseases (excl chronic hepatitis/HIV),A82
Encephalitis,A83
Encephalitis,A84
Encephalitis,A85
Encephalitis,A86
Meningitis,A87
Viral diseases (excl chronic hepatitis/HIV),A88
Viral diseases (excl chronic hepatitis/HIV),A89
Infections of Other or unspecified organs,A90
Infections of Other or unspecified organs,A91
Infections of Other or unspecified organs,A92
Infections of Other or unspecified organs,A93
Infections of Other or unspecified organs,A94
Infections of Other or unspecified organs,A95
Infections of Other or unspecified organs,A96
Infections of Other or unspecified organs,A98
Infections of Other or unspecified organs,A99
Viral diseases (excl chronic hepatitis/HIV),B00
Infection of skin and subcutaneous tissues,B000
Infection of skin and subcutaneous tissues,B001
Infections of Other or unspecified organs,B002
Meningitis,B003
Encephalitis,B004
Eye infections,B005
Infections of Other or unspecified organs,B007
Infections of Other or unspecified organs,B008
Infections of Other or unspecified organs,B009
Viral diseases (excl chronic hepatitis/HIV),B01
Meningitis,B010
Encephalitis,B011
Lower Respiratory Tract Infections,B012
Infections of Other or unspecified organs,B018
Infections of Other or unspecified organs,B019
Viral diseases (excl chronic hepatitis/HIV),B02
Encephalitis,B020
Meningitis,B021
Other nervous system infections,B022
Eye infections,B023
Infections of Other or unspecified organs,B027
Infections of Other or unspecified organs,B028
Infections of Other or unspecified organs,B029
Viral diseases (excl chronic hepatitis/HIV),B05
Encephalitis,B050
Meningitis,B051
Lower Respiratory Tract Infections,B052
Ear and Upper Respiratory Tract Infections,B053
Infections of the digestive system,B054
Infections of Other or unspecified organs,B058
Infections of Other or unspecified organs,B059
Viral diseases (excl chronic hepatitis/HIV),B06
Other nervous system infections,B060
Infections of Other or unspecified organs,B068
Infections of Other or unspecified organs,B069
Infection of skin and subcutaneous tissues,B07
Infection of skin and subcutaneous tissues,B08
Infection of skin and subcutaneous tissues,B09
Viral diseases (excl chronic hepatitis/HIV),B15
Hepatic failure,B150
Viral diseases (excl chronic hepatitis/HIV),B16
Hepatic failure,B160
Viral diseases (excl chronic hepatitis/HIV),B17
Chronic viral hepatitis,B18
Viral diseases (excl chronic hepatitis/HIV),B19
Hepatic failure,B190
Infections of Other or unspecified organs,B20
Tuberculosis,B200
Bacterial Diseases (excl TB),B201
Viral diseases (excl chronic hepatitis/HIV),B202
Viral diseases (excl chronic hepatitis/HIV),B203
Mycoses,B204
Mycoses,B205
Mycoses,B206
Infections of Other or unspecified organs,B21
Infections of Other or unspecified organs,B22
Infections of Other or unspecified organs,B23
Infections of Other or unspecified organs,B24
Viral diseases (excl chronic hepatitis/HIV),B25
Lower Respiratory Tract Infections,B250
Infection of liver,B251
Infections of Other or unspecified organs,B252
Infections of Other or unspecified organs,B258
Infections of Other or unspecified organs,B259
Viral diseases (excl chronic hepatitis/HIV),B26
Infection of male genital system,B260
Meningitis,B261
Encephalitis,B262
Infections of Other or unspecified organs,B268
Infections of Other or unspecified organs,B269
Viral diseases (excl chronic hepatitis/HIV),B27
Viral diseases (excl chronic hepatitis/HIV),B30
Viral diseases (excl chronic hepatitis/HIV),B33
Infections of Other or unspecified organs,B330
Infections of Other or unspecified organs,B331
Infections of the Heart,B332
Infections of Other or unspecified organs,B333
Infections of Other or unspecified organs,B334
Infections of Other or unspecified organs,B338
Infections of Other or unspecified organs,B34
Infection of skin and subcutaneous tissues,B35
Infection of skin and subcutaneous tissues,B36
Mycoses,B37
Infections of Other or unspecified organs,B370
Lower Respiratory Tract Infections,B371
Infection of skin and subcutaneous tissues,B372
Infection of other or unspecified genitourinary system,B373
Infection of other or unspecified genitourinary system,B374
Meningitis,B375
Infections of the Heart,B376
Septicaemia,B377
Infections of Other or unspecified organs,B378
Infections of Other or unspecified organs,B379
Mycoses,B38
Lower Respiratory Tract Infections,B380
Lower Respiratory Tract Infections,B381
Lower Respiratory Tract Infections,B382
Infection of skin and subcutaneous tissues,B383
Meningitis,B384
Infections of Other or unspecified organs,B387
Infections of Other or unspecified organs,B388
Infections of Other or unspecified organs,B389
Mycoses,B39
Lower Respiratory Tract Infections,B390
Lower Respiratory Tract Infections,B391
Lower Respiratory Tract Infections,B392
Infections of Other or unspecified organs,B393
Infections of Other or unspecified organs,B394
Infections of Other or unspecified organs,B395
Infections of Other or unspecified organs,B399
Mycoses,B40
Lower Respiratory Tract Infections,B400
Lower Respiratory Tract Infections,B401
Lower Respiratory Tract Infections,B402
Infection of skin and subcutaneous tissues,B403
Infections of Other or unspecified organs,B407
Infections of Other or unspecified organs,B408
Infections of Other or unspecified organs,B409
Mycoses,B41
Lower Respiratory Tract Infections,B410
Infections of Other or unspecified organs,B417
Infections of Other or unspecified organs,B418
Infections of Other or unspecified organs,B419
Mycoses,B42
Lower Respiratory Tract Infections,B420
Infection of skin and subcutaneous tissues,B421
Infections of Other or unspecified organs,B427
Infections of Other or unspecified organs,B428
Infections of Other or unspecified organs,B429
Mycoses,B43
Infection of skin and subcutaneous tissues,B430
Other nervous system infections,B431
Infection of skin and subcutaneous tissues,B432
Infections of Other or unspecified organs,B438
Infections of Other or unspecified organs,B439
Mycoses,B44
Lower Respiratory Tract Infections,B440
Lower Respiratory Tract Infections,B441
Ear and Upper Respiratory Tract Infections,B442
Infections of Other or unspecified organs,B447
Infections of Other or unspecified organs,B448
Infections of Other or unspecified organs,B449
Mycoses,B45
Lower Respiratory Tract Infections,B450
Other nervous system infections,B451
Infection of skin and subcutaneous tissues,B452
Infection of bones and joints,B453
Infections of Other or unspecified organs,B457
Infections of Other or unspecified organs,B458
Infections of Other or unspecified organs,B459
Mycoses,B46
Lower Respiratory Tract Infections,B460
Infections of Other or unspecified organs,B461
Infections of the digestive system,B462
Infection of skin and subcutaneous tissues,B463
Infections of Other or unspecified organs,B464
Infections of Other or unspecified organs,B465
Infections of Other or unspecified organs,B468
Infections of Other or unspecified organs,B469
Mycoses,B47
Infections of Other or unspecified organs,B470
Infections of Other or unspecified organs,B471
Infections of Other or unspecified organs,B479
Infections of Other or unspecified organs,B48
Infections of Other or unspecified organs,B49
Parasitic infections,B50
Other nervous system infections,B500
Infections of Other or unspecified organs,B508
Infections of Other or unspecified organs,B509
Infections of Other or unspecified organs,B51
Infections of Other or unspecified organs,B52
Infections of Other or unspecified organs,B53
Infections of Other or unspecified organs,B54
Parasitic infections,B55
Infections of Other or unspecified organs,B550
Infection of skin and subcutaneous tissues,B551
Infections of Other or unspecified organs,B552
Infections of Other or unspecified organs,B559
Parasitic infections,B56
Infections of Other or unspecified organs,B57
Parasitic infections,B58
Eye infections,B580
Infection of liver,B581
Other nervous system infections,B582
Lower Respiratory Tract Infections,B583
Infections of Other or unspecified organs,B588
Infections of Other or unspecified organs,B589
Lower Respiratory Tract Infections,B59
Infections of Other or unspecified organs,B60
Infections of Other or unspecified organs,B64
Infections of Other or unspecified organs,B65
Infections of Other or unspecified organs,B66
Parasitic infections,B67
Infection of liver,B670
Lower Respiratory Tract Infections,B671
Infection of bones and joints,B672
Infections of Other or unspecified organs,B673
Infections of Other or unspecified organs,B674
Infection of liver,B675
Infections of Other or unspecified organs,B676
